0,1,2,3,4,5,6,7,8,9,10
0.945017,-14.6515,1,-7.3257699999999994,-0.6117560000000001,-21.8629,0,0,429.00300000000004,1025,-20.9179
-4.74719,-11.2128,0,-2.3736,-0.203329,-11.550999999999998,0,0,357.87300000000005,1052,-16.2982
2.68138,-14.1769,0,-7.08847,0.42094499999999996,-15.1168,0,0,440.597,1149,-12.4354
0.249952,-14.3017,0,0.124976,-0.11761400000000001,0.15146800000000002,0,0,389.23,1043,0.124976
1.77365,-13.3374,0,-6.6687,0.483171,-1.6090799999999998,1,0,293.099,1129,0.164573
2.2593799999999997,-10.0075,2,-5.00373,-0.826844,-24.7062,1,0,180.076,1130,-22.4468
4.30514,-11.4688,0,-5.734380000000001,-0.970566,-11.3846,0,0,273.789,1067,-7.079460000000001
-2.43807,-13.6091,1,-6.80456,0.6893630000000001,-6.17556,0,1,467.286,1195,-1.21904
-0.6276579999999999,-13.8806,1,-6.9402800000000004,-0.21821500000000002,-4.400469999999999,1,0,125.87100000000001,1083,-5.02813
-3.00029,-12.342,1,-6.17101,-0.223673,-28.0549,0,0,399.94699999999995,1016,-31.0552
-1.0676299999999999,-12.7612,0,-0.533816,-0.117403,-0.58221,1,0,181.981,1189,-1.6498400000000002
-1.47751,-14.0975,0,-7.048760000000001,0.517762,-6.25044,1,1,381.74699999999996,1037,-0.738755
2.15655,-12.9531,0,-6.47654,0.46386000000000005,-5.29671,0,0,384.29900000000004,1183,-3.14016
3.13058,-10.0136,0,-5.00678,-0.116932,-2.16463,0,0,106.15700000000001,1028,0.96595
-4.12073,-12.5001,0,-6.2500599999999995,-0.22859000000000002,-31.0833,0,0,144.796,1115,-35.204
-1.65157,-10.1269,0,-0.825786,0.10785,-0.597341,0,0,132.877,1022,-2.24891
1.98845,-10.9259,0,0.994223,0.332483,4.3769599999999995,1,0,102.529,1200,0.994223
3.4616599999999997,-12.4788,1,-6.2394,-0.20698200000000003,-8.29678,1,0,369.07199999999995,1023,-4.83512
-4.366140000000001,-12.6547,0,-6.32735,-0.974187,-1.6609,1,0,426.23699999999997,1144,-6.02704
4.70659,-12.2658,0,2.3532900000000003,0.380178,3.2977199999999995,0,0,312.911,1186,2.3532900000000003
1.26302,-14.8345,0,-7.417269999999999,0.751829,-22.1588,0,1,352.528,1173,0.6315109999999999
-4.80262,-12.6841,0,-6.34205,0.40521599999999997,-11.2085,1,0,301.353,1054,-16.0111
3.28904,-13.7277,0,-6.86385,0.503416,-11.5871,1,1,421.151,1097,1.64452
-0.606297,-11.172,0,-5.58601,-0.5660970000000001,-26.9455,0,0,368.827,1189,-27.5518
-3.59173,-14.0929,0,-7.04644,0.720467,-28.0318,0,1,342.213,1078,-1.79587
2.7553099999999997,-10.6462,2,1.37766,0.319929,5.72691,0,0,263.473,1151,1.37766
1.55958,-11.8246,0,-5.91228,0.996441,-22.1373,0,1,271.362,1112,0.779792
-1.94305,-14.5884,0,-7.29418,0.5205529999999999,-30.3111,0,1,444.102,1072,-0.971525
-3.25653,-13.7163,0,-6.85815,0.46711800000000003,-17.9302,1,0,119.994,1115,-21.1867
-4.08988,-11.8431,0,-5.92155,0.475666,-8.30043,0,0,100.12200000000001,1187,-12.3903
4.9326099999999995,-11.2782,0,-5.63908,-0.8538290000000001,-22.1752,0,0,428.149,1045,-17.2425
-1.9763,-10.877,1,-5.4385,-0.9039229999999999,-16.2764,1,0,477.603,1027,-18.2527
-1.36219,-14.9167,0,-7.45835,0.0663093,-30.6081,0,0,139.741,1196,-31.9703
4.63963,-13.0758,2,-6.53788,0.5912109999999999,-19.9655,0,1,124.63600000000001,1005,2.31982
4.55614,-13.5124,2,-6.7561800000000005,-0.530189,-25.9225,1,0,209.273,1166,-21.3664
0.884966,-13.4048,2,-6.702380000000001,0.66255,-15.6699,0,1,258.323,1000,0.442483
0.671782,-13.0128,0,0.335891,0.40189899999999995,1.42448,0,0,204.63299999999998,1021,0.335891
