25.89,66.49,1013.08,63.16,434.67
12.06,48.04,1010.01,100.13,465.63
22.26,44.89,1009.51,78.93,447.07
20.39,64.15,1021.31,62.35,457.37
14.26,44.2,1019.81,76.46,462.87
11.77,42.03,1017.63,79.35,472.22
7.1,35.77,1015.39,92.1,480.36
17.46,39.99,1008.52,69.73,461.01
25.79,59.43,1008.61,64.3,435.51
13.21,45.87,1008.58,85.66,463.1
11.1,40.92,1021.98,94.14,462.07
18.01,54.9,1017.04,77.82,455.91
20.84,59.8,1016.96,75.05,451.13
15.43,41.1,1005.2,85.06,467.21
13.98,44.84,1023.6,89.09,462.81
30.24,67.32,1014.07,46.53,437.18
24.3,69.94,1007.02,62.14,438.92
14.29,39.59,1010.93,94.53,463.04
9.24,41.4,1018.34,84.91,477.65
13.38,40.12,1013.92,96.96,468.15
27.69,69.71,1009.9,69.91,440.43
8.86,40.8,1028.18,91,483.36
14.58,42.99,1007.55,93.56,468.43
28.78,64.96,999.75,56.43,432.66
10.96,45.01,1017.97,95.82,468.64
16.39,52.75,1024.42,54.61,459.48
16.42,40.56,1020.36,50.62,472.17
20.9,67.07,1005.43,82.85,443.46
10.33,43.99,1020.7,96.68,474.17
11.09,42.44,1014.18,92.81,478.37
24.42,62.66,1007.65,71.57,443.09
26.26,73.06,1009.35,91.65,435.41
8.73,41.26,1020.54,91.37,476.42
23.1,51.3,1011.93,80.05,452.17
26.76,71.94,1008.81,64.62,432.49
32.33,67.83,1008.11,57.48,427.84
8.99,36.3,1027.08,73.98,478.95
16.1,36.71,1013.58,74.41,471.46
19.89,68.08,1012.65,80.25,448.71
8.25,41.26,1020.59,91.84,475.17
19.8,49.15,1020.88,61.88,461.78
24.9,71.77,1006.24,85.25,427.77
25.21,60.37,1006.01,73.14,436.23
22.84,61.87,1010.63,51.67,442.72
28.74,70.32,1008.15,45.99,431.93
9.43,37.14,1013.03,74.99,473.57
11.12,44.92,1025.58,93.52,470.82
24.2,50.78,1008.74,59.32,443.09
17.76,40.55,1002.82,73.77,461.8
24.14,59.87,1018.47,57.76,444.04
5.28,45.87,1008.25,97.88,479.91
14.83,53.82,1016.57,63.47,464
22.18,69.05,1002.75,70.84,442.14
14.48,40.83,1009.42,81.74,469.64
11.42,41.54,1020.21,71.57,477.5
14.24,39.58,1011.17,70.45,469.94
32.77,72.86,1003.6,52.87,433.84
24.6,71.73,1010.08,78.77,436.28
23.85,69.45,1013.99,60.6,439.67
16.18,43.99,1021.97,80.96,460.81
6.03,41.17,1019.81,84.2,488.57
8.23,43.79,1016.11,82.11,484.67
8.46,40.8,1023.57,81.27,485.06
15.43,40.89,1010.63,73.03,468.35
