289,51,0.74,0.24,0.33,0.1,-16,-15
136,1,0.16,0.01,0.4,1.5,-11,4
131,-11,-0.17,0.08,0.43,0.5,-11,-4
-176,11,0.29,0.02,0.66,-1.6,-12,5
453,3,0.25,0.2,0.2,1.6,-8,-21
86,-8,0.15,0.08,0.46,-1.7,-9,-8
77,-47,-0.31,0.04,0.6,-0.6,-18,13
6,-20,-0.32,0.13,0.59,0.5,-18,4
579,-39,-0.21,-0.11,-0.11,0.4,-10,21
-409,-23,0.36,-0.02,0.91,-1,-7,-22
-526,28,0.19,-0.18,0.97,1.6,-6,1
64,3,0.57,0.35,0.52,-0.9,-20,-3
19,-45,0.28,0.07,0.65,0.6,-15,4
195,-21,0.39,-0.08,0.41,0.3,-6,8
-22,-34,-0.48,0.04,0.69,1.7,-8,-1
-76,-54,0.24,0.05,0.66,2.3,-16,9
-139,-26,-0.63,-0.07,0.59,0.7,-12,13
-347,-36,0.25,0.05,1.19,-0.5,-8,-3
-82,46,0.15,0.11,0.69,-0.8,-9,-11
297,-24,-0.35,0.03,0.24,-0.5,-12,2
36,26,0.14,0.14,0.51,0.5,-6,-16
1,-20,0.14,0.08,0.49,-0.7,-10,-6
145,-27,0.54,0.16,0.43,-0.8,-16,-11
109,-30,0.14,-0.02,0.4,0.5,-9,6
-126,18,-0.11,0.09,0.65,0.5,-9,-13
212,-5,-0.19,0.17,0.52,0.5,-18,-2
149,-20,-0.1,0.07,0.41,0.5,-12,-6
-119,2,-0.36,0.07,0.98,-0.5,-17,4
-22,11,-0.87,0.12,0.65,-0.6,-21,0
15,21,-0.06,0.31,0.68,1.6,-9,-32
224,-17,0.2,0.17,0.91,-0.8,-16,-4
-177,-50,0.52,0.03,0.65,-0.8,-20,19
166,-18,0.14,-0.09,0.32,0.2,-13,17
-26,6,-0.07,0.12,0.75,0.7,-11,-11
297,-36,0.39,0.27,0.5,1.1,-15,-19
19,6,0.59,-0.02,0.47,-1.1,-11,9
406,18,0.31,-0.03,0.12,0.5,-5,4
-72,-44,0.19,-0.11,0.5,-1.1,-8,11
59,12,-0.33,0.01,0.46,0.8,-11,4
510,2,-0.12,0.19,0.17,-1.8,-13,-6
295,-7,-0.4,0.44,0.45,0.1,-7,-13
-437,63,0.4,0.3,1.16,0.2,-8,-31
73,-14,0.29,0.03,0.45,0.4,-13,4
310,-29,0.09,0.05,0.22,0.4,-13,5
26,-40,0.44,-0.03,0.48,-0.7,-14,9
212,-8,0.47,0.17,0.37,0.6,-5,-26
-145,-4,0.02,0.07,0.77,1.3,-8,-6
432,-4,0.14,-0.05,0.09,-0.6,-11,9
-175,-27,-0.28,0.02,0.77,0,-9,1
-328,-20,0.65,0.14,1.1,1.2,-17,-7
-403,-3,-0.14,0.14,1.02,-0.5,-13,-7
