-121.98,38.05,31,2810,518,1640,503,3.3661,98500
-122.28,37.52,29,1526,355,724,315,4.0313,435200
-118.08,33.77,26,3083,806,960,723,1.9074,68500
-118.46,34.08,35,3247,525,1065,484,7.8426,500001
-118.09,33.97,39,1473,297,1108,294,4.1389,166000
-120.56,35.48,12,4161,731,1609,615,5.0947,267500
-118.17,33.77,12,4409,1401,3068,1262,2.2808,154700
-118.29,33.73,43,1854,519,1151,486,2.5759,225000
-122.22,37.85,28,5287,1048,2031,956,5.457,337300
-118.1,34.13,44,1745,237,693,248,9.7912,500001
-120.66,35.29,23,1932,487,1380,472,1.9647,253600
-118.08,33.98,36,1492,282,1041,270,4.0677,165800
-118.47,33.99,52,1523,447,636,408,3.0682,412500
-119.09,36.22,34,1715,290,780,297,3.4306,74300
-117.11,32.69,37,2395,627,2489,599,1.5933,86300
-121.27,37.95,43,557,165,573,144,1.7212,59000
-119.75,36.74,39,1740,351,1098,347,1.8958,51300
-122.26,37.83,52,1665,419,946,395,2.0978,155400
-121.19,40.23,10,1572,232,247,104,5.8453,193800
-122.79,38.48,7,6837,1417,3468,1405,3.1662,191000
-119.27,36.32,6,2881,518,1432,504,4.0806,110200
-124.05,40.94,14,1452,217,516,181,5.0329,165600
-118.27,33.94,34,721,165,661,171,2.0789,92400
-118.17,33.79,36,948,303,1042,301,1.55,100000
-117.62,34.09,26,3271,595,2259,566,4.0139,132000
-117.26,33.37,7,2221,548,1440,501,2.2368,154600
-120.84,37.51,20,1901,313,1258,320,3.8958,126800
-118.44,34.2,17,2934,950,2517,889,2.936,232500
-117.48,33.91,22,3611,666,1869,649,4.2207,141100
-118.4,34.06,52,2501,362,748,349,6.6343,500001
-117.96,33.89,24,1332,252,625,230,4.4375,334100
-117.93,33.66,18,2043,250,702,246,9.6062,414700
-118.21,34.03,44,1550,407,1718,403,2.5268,141100
-120.97,38.65,9,3707,602,1601,555,4.0714,300600
-119.86,36.81,4,4530,1070,1804,837,3.3942,72100
-122.24,37.82,52,3481,751,1444,718,3.9,275700
-118.29,33.97,43,2660,672,2133,588,1.7734,107300
-118.39,34.16,37,1388,286,547,258,5.1584,444700
-117.89,34.09,37,1813,394,1100,375,3.4453,176700
-118.18,33.95,39,2121,579,1991,528,2.9094,152200
-118.23,33.96,44,3186,876,3913,842,3.0143,148200
-119.63,36.35,4,1684,343,920,324,4.2396,90600
-117.87,33.87,15,1898,476,1766,455,2.4929,158500
-118.45,34.23,25,4393,1369,3781,1267,2.5833,183700
-118.2,33.98,38,867,243,950,235,1.8929,163100
-118.51,34.28,29,4239,653,1890,631,6.3911,301700
-122.12,37.71,38,1164,284,632,289,3.0345,152100
-117.96,33.79,36,2398,403,1261,402,5.2816,221800
-119.88,34.42,22,2367,492,1333,488,3.6304,312200
-121.95,37.94,27,1469,216,578,219,5.9346,253600
-117.27,32.83,39,1877,426,805,409,3.875,410000
-117.9,33.65,30,2196,486,1131,460,4.4135,272300
-122.95,39.13,17,380,69,225,72,3.25,137500
-120.3,37.34,33,993,186,556,175,2.4286,103600
-117.35,33.99,45,131,28,89,31,2.6071,112500
-117.94,34.08,34,1970,476,1269,406,4.064,201200
-121.64,36.82,18,1819,283,919,295,4.1696,222500
-121.46,38.56,52,1750,372,764,369,2.9191,111800
-121.9,37.31,52,2125,431,1014,443,5.8186,281100
-118.34,34.05,41,2099,472,1369,465,2.7409,167100
-122.46,38.53,32,1735,331,785,309,3.6641,275800
-120.22,38.05,14,3803,689,1129,477,2.7188,137000
-122.17,37.87,38,1261,177,472,183,6.917,438000
-121.35,38.01,15,2682,599,1520,601,3.5982,94400
-118.37,34.05,48,1266,234,539,222,4.005,275000
-118.32,33.89,34,2675,560,1270,492,4.5053,242000
-122.3,37.9,38,2263,522,1027,509,3.5125,224200
-121.27,38.65,25,2787,601,1247,522,2.9016,159800
-119.02,35.32,14,2927,588,1821,561,3.3529,82600
-119,35.33,35,991,221,620,207,1.9417,53800
-116.93,32.81,18,2447,466,1573,472,2.6429,125400
-118.26,33.96,39,1255,323,902,327,1.5812,94000
-121.37,38.59,36,2523,401,927,398,3.5179,207800
-116.51,33.94,12,3369,780,1315,584,1.7388,66000
-122.46,37.78,52,3429,773,1584,696,3.7887,500001
-122.04,37.63,21,1307,236,586,249,4.7813,241900
-118.36,34.15,34,3659,921,1338,835,3.6202,366100
-121.76,37.33,5,4153,719,2435,697,5.6306,286200
-118.52,34.2,19,4315,1304,2490,1222,2.6437,195000
-117.85,33.76,33,1866,327,1053,371,4.5461,213800
-122.04,37.37,42,1125,273,616,258,3.6765,252800
-118.37,33.91,35,1742,283,812,282,5.6704,303700
-118.13,34.16,33,2682,716,2050,692,2.4817,169500
-116.87,32.75,15,2053,321,993,309,5.5164,248900
-122.56,40.75,20,1182,250,512,210,1.7935,74500
-122.67,38.43,17,2007,400,895,403,3.2813,202700
-118.18,34.01,39,322,82,319,90,2.6364,148800
-122.87,38.48,27,3894,776,1832,715,3.5085,187800
-118.01,34.15,32,6597,1579,3689,1459,3.2377,184100
-120.27,34.72,14,1289,277,693,237,3.2569,230800
-117.9,33.85,32,1605,314,986,306,3.3375,186200
-121.96,37.32,11,1711,493,1094,543,3.73,227700
-117.89,34.12,35,1470,241,885,246,4.9239,168800
-121.23,37.79,23,1985,424,1198,389,2.7734,116800
-119.38,36.3,14,1932,330,997,291,3.6875,93200
-118.18,33.78,17,1419,436,1300,360,2.0769,100000
-122.12,37.88,35,2785,362,1001,363,8.0448,433300
-117.08,32.74,33,3260,673,1784,666,3.5078,126500
-122.08,37.15,23,506,96,264,89,7.1366,273900
-118.38,33.83,35,2152,454,902,414,4.5179,427200
-118.2,34.13,30,3369,824,2032,795,4.0052,196400
-122.25,38.1,52,248,86,173,69,2.3,109400
-119.81,36.77,48,1805,329,741,331,2.5804,78900
-118.43,33.82,34,2112,614,946,574,4.6048,500001
-118.1,34.05,31,3559,734,2975,715,3.756,183300
-121.98,37.58,20,4126,1031,2079,975,3.6832,216900
-118.42,37.35,21,3302,557,1413,520,4.375,180400
-118.39,34.06,52,1213,194,503,194,8.0095,500001
-121.41,38.53,35,2061,371,1110,342,3.1944,79000
-118.9,34.4,16,2614,575,1163,524,1.5781,134400
-121.83,37.3,17,1299,211,825,217,4.5,235800
-122.36,37.54,23,6184,747,2165,700,10.1675,500001
-122.24,37.47,36,2021,433,1117,432,3.929,303100
-117.13,32.79,35,1458,262,723,257,4.2098,174100
-118.08,33.85,22,1055,204,682,216,6,191300
-118.74,34.27,23,2493,522,1488,505,4.18,215000
-117.87,33.89,22,2340,664,1382,546,3.343,184600
-117.22,32.74,52,1283,173,436,190,7.4029,345700
-120.41,37.16,21,1684,341,1052,312,2.0809,95800
-118.03,33.78,26,2001,302,836,298,5.1061,257500
-118.24,33.93,32,779,201,861,219,1.0625,89800
-118.06,33.83,22,5290,1054,2812,1021,4.53,226400
-117.56,34.42,6,4264,749,2005,666,3.4695,138800
