0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81
6,120.37521170000001,113.7745357,90.12286093,84.84930003,1.588257779,1.276253911,192.981,60.02755333,71.7978261,72.45877979,761.05,760.4633332999999,725.7229103999999,725.4468735,1.740039963,1.538647331,772.0,200.8133333,259.4364582,258.8869476,150.66666669999998,152.4,136.7699812,137.5373852,1.716936499,1.4150523730000002,171,60.56666667,53.66149043,56.95120719,6476.238167,5799.438167,1685.802688,1475.9963189999999,1.519253351,1.261955241,11338.571000000002,2933.761833,4032.4899939999996,4007.7430670000003,74.62166667,76.37233333,51.53696916,44.52867359,1.553096311,1.324797587,135.97,26.59,47.78012502,51.62121306,7.215333332999999,8.259333332999999,4.436085901,5.113139263,1.571534473,1.271305887,12.878,3.233,4.1742459069999995,4.161456903,81.83776333,81.17109667,10.51874837,9.859395402,0.707297176,0.619791677,399.97342000000003,66.66223667,142.88601730000002,143.21692119999997,3.0,3.0,2.7981664139999998,2.730964408,1.721089149,1.408485005,3,1.4,1.154700538,1.3662601019999998,21.2
5,92.26674,58.64255789,64.81266197,35.92490257,1.3232866090000002,1.4831745319999998,188.3839,17.29529474,69.23265515,62.32724195,747.78,985.6631579,702.115184,916.7338775000001,1.54100619,1.0076402770000001,810.6,638.2105263,293.2861361,351.06524989999997,159.2,111.63157890000001,139.7433718,89.28303638,1.5073207919999998,1.595754471,205,10.21052632,67.21130857,73.01997602,5174.2858,3195.488947,962.3642484,69.73834120000001,1.1650654409999999,1.131243893,11848.571000000002,1413.984737,4506.89548,4335.430397,60.483999999999995,98.14421053,29.177546399999997,61.28571421,1.112638623,0.6981971840000001,138.63,74.59263158,58.434336,58.28308126,6.8124,4.3684210530000005,3.8395849760000003,1.233394468,1.345508467,1.325351122,12.878,1.9515789469999998,4.340205414,4.9305016969999995,132.805316,90.96135789,17.74741317,1.352211914,0.9499041220000001,0.830119009,399.97342000000003,63.14390526,151.1646393,146.48057230000003,2.2,2.105263158,2.168943542,2.087208899,1.594166699,1.376226604,1,0.842105263,0.4,0.306892205,125.0
3,63.34416667,63.34416667,60.59066,60.59066,1.052504648,1.052504648,43.357,14.45233333,19.75393577,19.75393577,655.8666667,655.8666667,655.8534988,655.8534988,1.098592237,1.098592237,9.6,3.2,4.150769674,4.150769674,184.33333330000002,184.33333330000002,183.7068426,183.7068426,1.095155213,1.095155213,35,11.66666667,15.45603083,15.45603083,5709.333333,5709.333333,5638.870937,5638.870937,1.086694927,1.086694927,2004.0,668.0,865.7961012000001,865.7961012000001,34.6,34.6,27.23304717,27.23304717,0.9248919609999999,0.9248919609999999,43.0,14.33333333,18.44360775,18.44360775,20.83333333,20.83333333,20.76499907,20.76499907,1.095350536,1.095350536,4.1,1.3666666669999998,1.677961726,1.677961726,25.33333333,25.33333333,25.03249109,25.03249109,1.0863530209999999,1.0863530209999999,9.0,3.0,4.027681991000001,4.027681991000001,4.333333333,4.333333333,4.30886938,4.30886938,1.092830554,1.092830554,1,0.333333333,0.471404521,0.471404521,6.6
3,95.4869,66.36485,59.03245111,37.26128491,0.794113086,0.9282888990000001,166.4793,27.58065,67.96571292,60.57680841,781.9,868.81,753.409032,839.9918331,1.060675395,0.878475496,510.5,456.57,219.42936600000002,219.7784086,155.0,131.2,138.3451418,114.36961570000001,1.004710739,1.0345601759999998,141,35.3,62.65780079,64.46440879,8616.666667,6724.5,6762.280838,5010.470598,0.9215436290000001,0.9948678609999999,11050.0,2468.0,4661.947614,4571.187454999999,76.76666667,103.615,25.76792481,59.58443383,0.662666379,0.574923417,153.9,77.475,62.8744958,56.78463943,55.5,68.925,45.85049128,58.38234727,0.9092366359999999,0.678449027,79.5,48.675,35.26329537,36.23509176,100.66666670000001,122.1,76.49332819,106.50705430000001,0.909638332,0.7863688940000001,117.0,66.55,54.92014405,41.63279957,4.666666667,4.7,4.57885697,4.609904537,1.078992208,0.986314123,2,1.5,0.942809042,0.953939201,5.5
2,80.0015975,100.1429903,77.17757458,99.87769144,0.658058257,0.069141115,42.136804999999995,97.54992971,21.068402499999998,6.180766974,734.2,711.3516,733.8108953,711.3184569,0.6926172559999999,0.111162321,47.8,677.9952,23.9,7.011463288,165.0,177.428,164.48708159999998,177.38272450000002,0.6900401970000001,0.093517596,26,170.74,13.0,3.813766642,10635.0,12293.66,10492.52115,12280.728959999999,0.67978009,0.081732741,3470.0,11902.06,1735.0,508.99116339999995,84.0,101.9728,81.86916391,101.7753755,0.667888434,0.073946065,37.6,99.104,18.8,5.515293298,20.95,25.491,20.40441129,25.44039938,0.6672189860000001,0.073584185,9.5,24.7782,4.75,1.393491658,110.0,119.56,109.5445115,119.5196351,0.689009238,0.09174831,20.0,115.16,10.0,2.933666648,5.0,5.956,4.898979486,5.946716609,0.673011667,0.076939325,2,5.78,1.0,0.293366665,0.27
4,142.082,133.99338,137.7794437,131.67111450000002,1.3534654169999998,1.206121275,92.382,54.61456,37.88026639,28.17421963,712.6,777.466,703.9784274,770.6271952000001,1.374302141,1.0918486840000001,311.0,389.86,109.98663559999999,99.70716345,144.5,136.014,143.8731023,135.3543841,1.382076799,1.219493804,33,49.02,13.08625233,13.45874452,8050.0,7282.78,7841.66165,7138.034434,1.358755688,1.245350237,5100.0,2535.2,1949.0638780000002,1618.04279,91.875,134.8808,69.40670373,113.6863845,1.135725356,0.77185507,161.3,93.41799999999999,65.35668960000001,62.48631459,8.1325,11.66982,6.606447939,9.920386025,1.176146479,0.759632915,14.24,8.4892,5.569566298,5.921433489,46.75,32.168,27.55938288,13.27652144,1.1091920240000002,1.039934822,79.0,18.198,30.43332877,31.33298224,4.25,4.92,4.1195342880000005,4.787519125,1.354581075,1.024477131,3,2.76,1.089724736,1.11067547,3.92
4,89.4450125,56.49172143,66.59944421,37.14534564,1.180420573,1.3240004840000001,124.90825,13.41729841,52.45499173,49.73386911,771.8,986.7507937,713.2926497000001,916.1848765000001,1.303847302,0.8972949929999999,810.6,646.0206348999999,326.48486180000003,351.75206180000004,173.25,119.42857140000001,144.4131292,92.59891253,1.247796953,1.349880096,205,20.55555556,84.09035319,83.37726733,4777.85725,3218.208841,739.1011169,77.32624281,1.034399663,0.87439436,8958.571,2132.5848100000003,3368.219947,3769.953,82.3375,109.7301587,60.72149283,88.65887381,1.1640131999999999,0.819900052,127.05,72.19047619,51.12571974,47.61453821,7.0555,5.052793651,3.559515078,1.360045318,1.09610341,0.972500916,12.878,3.002761905,4.586637194,5.412200768,107.75664499999999,99.14090698,7.06248773,1.207710361,0.30814799,0.18955016600000002,399.97342000000003,95.22417238,168.8542438,168.3186273,2.5,2.158730159,2.37841423,2.113105912,1.33217904,1.248078229,2,0.73015873,0.866025404,0.54061544,60.0
4,76.4445625,51.35445015,59.35667247,35.0195731,1.199540745,1.291413495,121.3276,14.33241898,43.82335412,44.21680048,794.0,1002.667901,741.6293489,936.5849091,1.315004308,0.892696481,810.6,657.6987654,311.7434923,342.4913737,164.5,114.74382720000001,139.0005138,89.85839061,1.256700567,1.339547445,205,22.68518519,77.52580216,79.27117347,4235.85725,2961.569895,669.5565878,67.13267909,1.015407123,0.8127870620000001,8958.571,2073.306648,3194.938946,3641.0403189999997,77.2375,109.06635800000001,53.52796465,86.40626724,1.105182174,0.7644116040000001,127.05,74.14351852,54.83075523,49.48722239,8.1805,5.26582716,4.035568999,1.3443488869999998,1.1120981970000001,1.042570537,12.878,2.913185185,4.948155288,5.650344208,108.75664499999999,96.69637321,7.55238461,1.1089534429999999,0.336261916,0.203140905,399.97342000000003,92.57831815,168.30104680000002,166.6107686,2.25,2.077160494,2.213363839,2.063560871,1.3689223609999999,1.2034386670000001,1,0.842592593,0.433012702,0.26684593300000004,88.1
4,88.9444675,55.09179,66.36159243,36.15521124,1.1817952390000002,1.328127392,122.90607,12.51216923,51.96882779,49.19499519,775.425,997.9076923,718.1529,928.3254097999999,1.305967036,0.877780638,810.6,665.4307692000001,323.8118078,349.377586,160.25,113.2307692,136.1260031,89.11038755,1.259243972,1.332293507,205,23.92307692,75.23754050000001,77.74232967,4654.35725,3081.2309999999998,724.9532109,67.98483256,1.033128801,0.8625742209999999,8958.571,2066.922846,3306.1628969999997,3719.352013,81.8375,110.5846154,60.12317856,89.6892288,1.159686593,0.7987779309999999,127.05,74.35384615,51.43371189,47.4122606,6.9055,4.8580000000000005,3.479474849,1.277299406,1.088575342,0.964129896,12.878,2.9035384619999998,4.599064117,5.37846744,107.75664499999999,96.09123538,7.06248773,1.073904417,0.30814799,0.18962379999999998,399.97342000000003,92.29338,168.8542438,166.59050980000004,2.25,2.076923077,2.213363839,2.0633622330000003,1.3689223609999999,1.201823024,1,0.846153846,0.433012702,0.266469355,92.0
4,64.63221750000001,55.08414943,48.77579155,34.86788275,1.139875458,0.956633301,122.90607,34.57346371,46.05908282,51.92568203,797.15,1012.7514289999999,747.3696110000001,942.3014653999999,1.3181260670000001,0.79977808,772.0,733.5028571,307.26441789999996,352.297013,145.5,103.8285714,127.38297730000001,83.88956503,1.28460887,1.181182743,147,44.6,59.8101162,66.27927309,4164.35725,2905.502286,590.9709365,52.30788058,0.923184667,0.758416421,8958.571,1579.583429,3573.8611060000003,3578.9158820000002,78.9425,111.3962857,42.53412988,95.55928344,1.071189549,0.7716928129999999,138.63,81.318,55.27163304,43.34336015,7.0405,3.862285714,3.536760671,1.042930561,1.09101614,1.00217723,12.878,1.744571429,4.6369797010000005,4.681493953,153.256645,66.21518857,12.89427947,0.666277039,0.72616374,0.491266553,399.97342000000003,57.12766857,162.9559785,140.2105786,2.25,2.257142857,2.213363839,2.21978343,1.3689223609999999,1.066221032,1,1.085714286,0.433012702,0.437058815,30.0
