0,1,2,3,4,5,6,7,8,9
14726.2,4472.18,0.30368,181.828,2052891.354,247.989,4447.67,38,30.2755,5.8260000000000005
5844.34,2022.84,0.34611,74.8769,806403.3532,85.8453,3043.02,36,40.193000000000005,4.1739999999999995
5164.17,1899.59,0.36784,62.5134,676995.8609999999,87.5302,3041.64,36,39.6734,11.267999999999999
16456.8,5815.14,0.35335,154.30100000000002,2339119.46,282.988,7767.5,142,28.6678,14.939
10253.1,3957.2,0.38595,61.3027,1418268.865,145.498,4988.01,46,31.8283,20.778000000000002
9258.19,2686.57,0.29018,90.7418,1257348.424,95.649,4172.08,27,33.5898,9.256
9473.66,2373.43,0.25051999999999996,101.819,1306458.913,135.745,3732.29,7,35.2222,3.2110000000000003
8085.99,2397.65,0.29651,89.7561,1145398.018,112.948,3434.08,33,37.7162,4.271
7273.18,2360.71,0.32456999999999997,61.2585,952560.1911,116.061,2717.9,27,39.0876,3.065
8588.45,2738.3,0.31883,57.0891,1172521.666,114.59899999999999,3989.71,45,35.9139,16.532
11359.5,3488.63,0.30711,111.559,1624066.1709999999,153.186,4622.76,109,31.3641,16.855
14489.8,5690.06,0.39269,188.382,1890957.554,261.601,5168.25,64,24.5252,5.565
8608.68,1960.13,0.22769,71.9007,1179806.383,96.2198,3446.15,58,37.647,12.765999999999998
10762.2,3317.82,0.30828,161.279,1509619.017,203.53799999999998,4497.64,91,30.4668,5.452999999999999
13543.9,3977.06,0.29364,153.79,1884883.4740000002,194.084,4835.74,81,28.9401,3.1510000000000002
11091.6,3327.99,0.30004000000000003,136.267,1557948.947,165.81900000000002,4372.89,43,32.3269,2.932
8129.94,2706.73,0.33293,91.336,1154227.775,107.59,4032.89,25,36.256,2.343
9049.0,3299.47,0.36462,98.3779,1201280.701,125.932,3259.91,71,38.4956,2.6180000000000003
9640.59,3624.83,0.37599,82.9808,1365819.267,150.875,3602.24,69,36.1022,15.264000000000001
5715.89,1590.57,0.27826999999999996,44.9007,786823.3377,91.1605,2942.86,56,41.8876,12.588
6817.03,2135.7,0.31328,97.5409,926989.7757,127.35799999999999,3782.77,41,36.1424,2.967
6062.37,1527.25,0.25192,59.2791,819153.2959,75.22,3005.07,32,39.7295,5.8
8158.74,2594.96,0.31805,81.7421,1091969.45,126.066,3179.62,45,37.5811,1.273
22393.0,6243.89,0.27883,307.14599999999996,3079476.038,353.37300000000005,6431.85,92,17.3904,2.582
12087.2,2148.87,0.17778,144.399,1697901.907,166.93599999999998,4629.41,161,29.3976,1.8559999999999999
7662.9,1812.05,0.23646999999999999,75.3752,1047642.5190000001,97.9803,3693.63,27,35.6405,10.083
16340.8,3913.47,0.23949,207.90900000000002,2268457.422,247.551,5170.91,123,46.5464,3.054
7998.91,2858.54,0.35736,75.1649,1134037.529,97.9201,3789.19,23,37.4728,17.987000000000002
11752.9,4005.67,0.34081999999999996,150.99200000000002,1650137.425,168.09900000000002,5066.06,29,29.3376,11.544
11540.0,4848.13,0.42011000000000004,153.266,1610651.821,223.90900000000002,4357.38,119,31.5159,15.148
10644.8,2833.87,0.26621999999999996,110.176,1434059.04,131.786,4492.39,59,31.3401,14.084000000000001
13741.5,2651.59,0.19296,143.235,1883756.5,183.47,5535.69,103,25.7656,6.372000000000001
4477.4,1995.39,0.44565,32.7904,622633.7437,70.5884,2260.95,43,43.9821,9.431000000000001
6214.84,2145.93,0.34529,62.6138,797561.4712,97.6985,2886.38,5,39.0066,13.772
7009.67,1662.17,0.23711999999999997,62.0243,961412.2294,90.9023,3307.0,48,38.1419,14.352
